id_chamado,data_abertura,bairro,tipo,status,tempo_horas,nota_avaliacao
260001,2026-01-01,Botafogo,Buraco na via,Fechado,168.0,
260002,2026-01-01,Santa Cruz,Buraco na via,Fechado,289.8,3.0
260003,2026-01-01,Realengo,Buraco na via,Fechado,86.7,
260004,2026-01-01,Santa Cruz,Estacionamento irregular,Fechado,6.3,
260005,2026-01-01,Campo Grande,Iluminação Pública,Aberto,,
260006,2026-01-01,Madureira,Buraco na via,Fechado,125.6,2.0
260007,2026-01-01,Tijuca,Remoção de entulho,Fechado,77.7,3.0
260008,2026-01-02,Madureira,Iluminação Pública,Fechado,249.2,2.0
260009,2026-01-02,Botafogo,Estacionamento irregular,Fechado,2.0,
260010,2026-01-02,Barra da Tijuca,Estacionamento irregular,Fechado,7.2,3.0
260011,2026-01-02,Tijuca,Iluminação Pública,Fechado,12.1,5.0
260012,2026-01-02,Barra da Tijuca,Iluminação Pública,Fechado,26.5,5.0
260013,2026-01-02,Madureira,Iluminação Pública,Aberto,,
260014,2026-01-02,Ipanema,Fiscalização de barulho,Fechado,2.0,4.0
260015,2026-01-02,Realengo,Fiscalização de barulho,Aberto,,
260016,2026-01-02,Santa Cruz,Iluminação Pública,Fechado,48.1,
260017,2026-01-02,Campo Grande,Remoção de entulho,Fechado,58.5,
260018,2026-01-02,Tijuca,Remoção de entulho,Fechado,88.9,
260019,2026-01-03,Copacabana,Remoção de entulho,Fechado,101.1,2.0
260020,2026-01-03,Campo Grande,Remoção de entulho,Fechado,160.5,
260021,2026-01-03,Madureira,Buraco na via,Fechado,229.2,2.0
260022,2026-01-03,Copacabana,Fiscalização de barulho,Fechado,11.5,1.0
260023,2026-01-03,Campo Grande,Estacionamento irregular,Aberto,,
260024,2026-01-03,Campo Grande,Fiscalização de barulho,Aberto,,
260025,2026-01-03,Ipanema,Iluminação Pública,Fechado,65.3,3.0
260026,2026-01-03,Realengo,Iluminação Pública,Fechado,69.3,3.0
260027,2026-01-03,Santa Cruz,Poda de árvore,Aberto,,
260028,2026-01-03,Barra da Tijuca,Estacionamento irregular,Fechado,1.9,5.0
260029,2026-01-03,Santa Cruz,Remoção de entulho,Fechado,47.6,4.0
260030,2026-01-04,Copacabana,Estacionamento irregular,Fechado,3.7,4.0
260031,2026-01-04,Santa Cruz,Iluminação Pública,Fechado,45.9,4.0
260032,2026-01-04,Campo Grande,Remoção de entulho,Fechado,173.3,4.0
260033,2026-01-04,Campo Grande,Remoção de entulho,Fechado,44.6,
260034,2026-01-04,Santa Cruz,Remoção de entulho,Fechado,66.8,4.0
260035,2026-01-04,Barra da Tijuca,Remoção de entulho,Fechado,126.3,3.0
260036,2026-01-04,Centro,Iluminação Pública,Fechado,,4.0
260037,2026-01-04,Copacabana,Buraco na via,Fechado,95.4,
260038,2026-01-04,Campo Grande,Remoção de entulho,Aberto,,
260039,2026-01-04,Madureira,Buraco na via,Aberto,,
260040,2026-01-04,Méier,Remoção de entulho,Aberto,,
260041,2026-01-04,Madureira,Fiscalização de barulho,Aberto,,
260042,2026-01-04,Campo Grande,Fiscalização de barulho,Fechado,6.0,2.0
260043,2026-01-04,Botafogo,Remoção de entulho,Aberto,,
260044,2026-01-04,Ipanema,Estacionamento irregular,Fechado,5.9,4.0
260045,2026-01-04,Barra da Tijuca,Remoção de entulho,Fechado,74.0,
260046,2026-01-05,Copacabana,Buraco na via,Fechado,70.3,3.0
260047,2026-01-05,Copacabana,Iluminação Pública,Fechado,49.9,4.0
260048,2026-01-05,Santa Cruz,Fiscalização de barulho,Fechado,12.7,1.0
260049,2026-01-05,Tijuca,Remoção de entulho,Fechado,178.0,2.0
260050,2026-01-05,Tijuca,Remoção de entulho,Fechado,51.6,4.0
260051,2026-01-05,Méier,Remoção de entulho,Aberto,,
260052,2026-01-05,Realengo,Remoção de entulho,Fechado,130.9,3.0
260053,2026-01-05,Santa Cruz,Estacionamento irregular,Aberto,,
260054,2026-01-05,Tijuca,Fiscalização de barulho,Fechado,6.2,2.0
260055,2026-01-05,Campo Grande,Fiscalização de barulho,Fechado,14.6,1.0
260056,2026-01-06,Centro,Iluminação Pública,Fechado,63.5,4.0
260057,2026-01-06,Copacabana,Buraco na via,Fechado,172.8,
260058,2026-01-06,Barra da Tijuca,Remoção de entulho,Fechado,83.7,
260059,2026-01-06,Copacabana,Buraco na via,Fechado,242.2,2.0
260060,2026-01-06,Tijuca,Remoção de entulho,Fechado,208.9,3.0
260061,2026-01-06,Ipanema,Iluminação Pública,Fechado,26.0,4.0
260062,2026-01-06,Campo Grande,Remoção de entulho,Fechado,83.4,
260063,2026-01-06,Campo Grande,Poda de árvore,Fechado,311.0,3.0
260064,2026-01-06,Santa Cruz,Fiscalização de barulho,Aberto,,
260065,2026-01-06,Santa Cruz,Estacionamento irregular,Fechado,12.3,
260066,2026-01-06,Méier,Iluminação Pública,Fechado,,5.0
260067,2026-01-06,Campo Grande,Estacionamento irregular,Fechado,8.1,
260068,2026-01-07,Madureira,Iluminação Pública,Aberto,,
260069,2026-01-07,Tijuca,Buraco na via,Fechado,199.0,3.0
260070,2026-01-07,Centro,Iluminação Pública,Fechado,54.8,4.0
260071,2026-01-07,Tijuca,Fiscalização de barulho,Fechado,20.6,1.0
260072,2026-01-07,Tijuca,Estacionamento irregular,Fechado,2.2,
260073,2026-01-07,Campo Grande,Estacionamento irregular,Fechado,,
260074,2026-01-07,Madureira,Fiscalização de barulho,Fechado,2.9,3.0
260075,2026-01-07,Ipanema,Iluminação Pública,Fechado,120.2,3.0
260076,2026-01-07,Santa Cruz,Iluminação Pública,Fechado,131.5,4.0
260077,2026-01-07,Realengo,Poda de árvore,Fechado,827.4,
260078,2026-01-08,Centro,Buraco na via,Fechado,93.3,3.0
260079,2026-01-08,Campo Grande,Buraco na via,Fechado,189.3,2.0
260080,2026-01-08,Méier,Buraco na via,Fechado,146.9,
260081,2026-01-08,Copacabana,Remoção de entulho,Aberto,,
260082,2026-01-08,Tijuca,Estacionamento irregular,Fechado,4.0,5.0
260083,2026-01-08,Campo Grande,Buraco na via,Fechado,,3.0
260084,2026-01-08,Campo Grande,Iluminação Pública,Fechado,36.2,
260085,2026-01-08,Santa Cruz,Fiscalização de barulho,Fechado,5.7,2.0
260086,2026-01-08,Tijuca,Remoção de entulho,Fechado,111.4,3.0
260087,2026-01-08,Realengo,Buraco na via,Fechado,411.5,1.0
260088,2026-01-08,Barra da Tijuca,Estacionamento irregular,Fechado,8.3,3.0
260089,2026-01-09,Santa Cruz,Poda de árvore,Fechado,170.9,4.0
260090,2026-01-09,Copacabana,Fiscalização de barulho,Fechado,1.4,3.0
260091,2026-01-09,Ipanema,Estacionamento irregular,Fechado,5.8,4.0
260092,2026-01-09,Realengo,Iluminação Pública,Aberto,,
260093,2026-01-09,Centro,Remoção de entulho,Aberto,,
260094,2026-01-09,Campo Grande,Remoção de entulho,Aberto,,
260095,2026-01-09,Santa Cruz,Poda de árvore,Fechado,184.5,
260096,2026-01-09,Ipanema,Iluminação Pública,Aberto,,
260097,2026-01-09,Campo Grande,Remoção de entulho,Aberto,,
260098,2026-01-10,Barra da Tijuca,Poda de árvore,Fechado,426.6,
260099,2026-01-10,Realengo,Remoção de entulho,Fechado,26.2,
